indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
—————————————,10817,species,238011,A.Apomys sp. B,238011,B.Apomys sp. B,=,,,moved,canonicalName,,tip
—————————————,10818,species,,,2517234,B.Apomys sp. Mt. Abra de Ilog,,,,,,,
—————————————,10819,species,,,2517235,B.Apomys sp. Mt. Mangibok,,,,,,,
—————————————,10820,species,,,2517236,B.Apomys sp. Mt. Wood,,,,,,,
—————————————,10821,species,,,2517237,B.Apomys sp. Mt. Tallulah,,,,,,,
———————————,10822,genus,248812,A.Phloeomys,248812,B.Phloeomys,=,,,,canonicalName,number_of_children,
————————————,10823,species,248813,A.Phloeomys cumingi,248813,B.Phloeomys cumingi,=,,,,canonicalName,,tip
————————————,10824,species,1330388,A.Phloeomys pallidus,1330388,B.Phloeomys pallidus,=,,,,scientificName,,tip
————————————,10825,,,,2630845,B.unclassified Phloeomys,particle-set<=,248812,A.Phloeomys,split,monotypic,,
———————————,10829,genus,253151,A.Leporillus,,,,,,,,,
———————————,10831,genus,332660,A.Anisomys,,,,,,,,,
————————————,10832,species,332661,A.Anisomys imitator,332661,B.Anisomys imitator,=,,,,canonicalName,,tip
———————————,10833,genus,332663,A.Dacnomys,,,,,,,,,
————————————,10834,species,332664,A.Dacnomys millardi,332664,B.Dacnomys millardi,=,,,,canonicalName,,tip
———————————,10835,genus,332667,A.Oenomys,,,,,,,,,
———————————,10837,genus,332672,A.Thallomys,332672,B.Thallomys,=,,,,canonicalName,,
————————————,10838,species,332673,A.Thallomys paedulcus,332673,B.Thallomys paedulcus,=,,,,canonicalName,,tip
————————————,10839,species,371826,A.Thallomys nigricauda,371826,B.Thallomys nigricauda,=,,,,canonicalName,,tip
————————————,10840,species,371827,A.Thallomys loringi,371827,B.Thallomys loringi,=,,,,canonicalName,,tip
————————————,10841,,,,2685323,B.unclassified Thallomys,,,,,,,
—————————————,10842,species,1261107,A.Thallomys sp. VN-2012,1261107,B.Thallomys sp. VN-2012,=,,,moved,canonicalName,,tip
—————————————,10843,species,,,1890065,B.Thallomys sp.,,,,,,,
—————————————,10844,species,,,2028313,B.Thallomys sp. SJS-2017,,,,,,,
